date,date_dji,open_dji,high_dji,low_dji,close_dji,adj_close_dji,volume_dji,sma_dji,rsi_dji,slowk_dji,slowd_dji,fastk_dji,fastd_dji,upper_dji,middle_dji,lower_dji,macd_dji,macdsignal_dji,macdhist_dji,roc_dji,rocp_dji,rocr100_dji,adx_dji,adxr_dji,apo_dji,cmo_dji,mom_dji,ppo_dji,trix_dji
2017-01-03,2017-01-03,19872.85938,19938.5293,19775.92969,19881.75977,19881.75977,339180000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-04,2017-01-04,19890.93945,19956.14063,19878.83008,19942.16016,19942.16016,280010000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-05,2017-01-05,19924.56055,19948.59961,19811.11914,19899.28906,19899.28906,269920000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-06,2017-01-06,19906.96094,19999.63086,19834.08008,19963.80078,19963.80078,277700000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-09,2017-01-09,19931.41016,19943.7793,19887.38086,19887.38086,19887.38086,287060000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-10,2017-01-10,19876.34961,19957.11914,19836.0293,19855.5293,19855.5293,299410000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13193233548461913,-0.0013193233548461814,99.86806766451538,0.0,0.0,0.0,0.0,-26.230470000002242,0.0,0.0
2017-01-11,2017-01-11,19887.38086,19973.41992,19833.16016,19954.2793,19954.2793,336150000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06077145054881328,0.0006077145054880995,100.06077145054881,0.0,0.0,0.0,0.0,12.119139999998879,0.0,0.0
2017-01-12,2017-01-12,19926.21094,19929.28906,19770.4707,19891.0,19891.0,306290000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04165505599222907,-0.0004165505599223229,99.95834494400778,0.0,0.0,0.0,2.1092370894447394,-8.289059999999154,0.0,0.0
2017-01-13,2017-01-13,19912.53906,19952.0293,19849.38086,19885.73047,19885.73047,263780000,0.0,0.0,61.776942689210955,54.08328953281751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3910593521761374,-0.00391059352176138,99.60894064782386,0.0,0.0,0.0,0.6961332291004518,-78.07031000000279,0.0,0.0
2017-01-17,2017-01-17,19848.82031,19882.99023,19775.34961,19826.76953,19826.76953,341900000,0.0,0.0,45.70962276137194,52.72848977093822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3047728126025273,-0.003047728126025325,99.69522718739748,0.0,0.0,0.0,-14.711587236160481,-60.611329999999725,0.0,0.0
2017-01-18,2017-01-18,19822.73047,19828.19922,19739.0,19804.7207,19804.7207,279760000,0.0,0.0,37.52274335415687,48.33643626824659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2558914407786439,-0.002558914407786483,99.74410855922136,0.0,0.0,0.0,-20.04884616557938,-50.80859999999666,0.0,0.0
2017-01-19,2017-01-19,19813.55078,19824.14063,19677.93945,19732.40039,19732.40039,301750000,0.0,0.0,25.2151838458143,36.1491833204477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1119364757012251,-0.01111936475701227,98.88806352429877,0.0,0.0,0.0,-35.495653787984544,-221.87890999999945,0.0,0.0
2017-01-20,2017-01-20,19795.06055,19843.93945,19759.14063,19827.25,19827.25,435260000,0.0,0.0,34.126745525941956,32.288224241971044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32049670705344147,-0.0032049670705344125,99.67950329294656,0.0,0.0,-45.25766346153978,-4.579655807612748,-63.75,-0.22773172449180515,0.0
2017-01-23,2017-01-23,19794.78906,19833.98047,19732.35938,19799.84961,19799.84961,326690000,0.0,0.0,44.59947381520829,34.64713439565485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4318717893192714,-0.004318717893192761,99.56812821068073,47.395056480735505,0.0,-54.148613589743036,-11.3934894128245,-85.88085999999748,-0.2725564487320445,-0.0734614186069793
2017-01-24,2017-01-24,19794.67969,19949.24023,19786.71094,19912.71094,19912.71094,374460000,0.0,51.86050484823226,66.82139431634712,48.515871219165795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43346148685472485,0.004334614868547345,100.43346148685472,40.95308761016674,0.0,-47.38654397435312,17.06557370867461,85.94140999999945,-0.23854684624444,-0.04248030647520107
2017-01-25,2017-01-25,19994.48047,20082.0,19994.48047,20068.50977,20068.50977,372240000,0.0,59.94091849985247,80.88349315759439,64.10145376304995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3319504677488325,0.013319504677488275,101.33195046774884,39.395922043006045,0.0,-20.113481666663574,41.24205948662246,263.7890699999989,-0.10118622763337837,0.017689943602450242
2017-01-26,2017-01-26,20076.25,20125.58008,20067.5293,20100.91016,20100.91016,356730000,0.0,61.39228434128777,92.3076752471889,80.00418757371015,0.0,0.0,0.0,0.0,0.0,37.25661942892475,-12.52478122208704,49.78140065101179,1.8675364513014658,0.018675364513014558,101.86753645130146,39.14074475086238,0.0,18.70455294871863,45.123371742539995,368.5097700000006,0.09404833540722196,0.07628338906460197
2017-01-27,2017-01-27,20103.35938,20115.9707,20072.64063,20093.7793,20093.7793,343130000,0.0,60.86958421971834,94.10008818010841,89.09708552829726,0.0,0.0,0.0,0.0,0.0,50.407032686267485,8.452490080697803,41.954542605569685,1.3442575243667099,0.013442575243667092,101.34425752436671,38.922021357596385,0.0,63.05756820513125,42.702991727325,266.52929999999833,0.31680675949497794,0.11497678172822656
2017-01-30,2017-01-30,20028.61914,20028.61914,19870.39063,19971.13086,19971.13086,317280000,0.0,52.57783251988906,80.02036475203472,88.80937605977736,0.0,0.0,0.0,0.0,0.0,38.87967048928476,18.59488355022679,20.284786939057973,0.8650633887314685,0.008650633887314662,100.86506338873147,35.96286212999449,0.0,78.14528384615551,6.920283441118621,171.28125,0.3924334427778452,0.11057138460968119
2017-01-31,2017-01-31,19913.16016,19918.16992,19784.76953,19864.08984,19864.08984,373750000,0.0,46.61022751354643,56.53630757469616,76.88558683561311,0.0,0.0,0.0,0.0,0.0,14.943602185445343,17.37778976196631,-2.4341875765209657,-0.24417117361118512,-0.002441711736111823,99.75582882638882,35.376604371807296,41.3858304262714,95.78963961538466,-14.825885469041356,-48.6211000000003,0.4812083010049044,0.07057146405380355
2017-02-01,2017-02-01,19923.81055,19967.73047,19845.99023,19890.93945,19890.93945,426670000,0.0,48.19845436969562,36.28278793395891,57.613153420229935,10.744288664677443,6.089977135748761,0.0,0.0,0.0,3.5145821143014473,12.756720546078022,-9.242138431776574,-0.8848206570148287,-0.008848206570148277,99.11517934298517,32.96604560332013,36.95956660674344,92.1657156410256,-8.375463077094393,-177.5703199999989,0.4630032850106066,0.03283724423954748
2017-02-02,2017-02-02,19858.33984,19922.75,19831.08984,19884.91016,19884.91016,347220000,0.0,47.8541937519056,28.220596731440594,40.34656408003189,8.723859455880937,6.489382706852793,0.0,0.0,0.0,-4.487556586984283,7.008628168390587,-11.49618475537487,-1.074578207059651,-0.010745782070596548,98.92542179294036,31.299308825807366,35.347615434406706,61.628881410259055,-9.704356433087574,-216.0,0.3095995598602195,0.003226773557063467
2017-02-03,2017-02-03,19964.21094,20081.48047,19964.21094,20071.46094,20071.46094,344220000,0.0,57.87886010874732,52.67030203841967,39.05789556793973,100.0,39.82271604018613,0.0,0.0,0.0,17.44645182394379,10.487902720241653,6.958549103702136,-0.11107099200595716,-0.0011107099200595623,99.88892900799404,28.965476795092517,34.05311077297745,37.89826192308101,27.99413063163701,-22.318359999997483,0.19020629352184082,0.018226055080505787
2017-02-06,2017-02-06,20025.60938,20094.94922,20002.81055,20052.41992,20052.41992,281720000,0.0,56.68110867247776,71.0491811759399,50.64669331526673,89.37092476704177,66.03159474097424,0.0,0.0,0.0,27.443190776597476,16.13966540569359,11.303525370903884,0.4070328343940277,0.004070328343940316,100.40703283439403,27.314228078268883,33.11812471793263,11.951245769232628,22.96245649357316,81.28905999999915,0.059924394827483275,0.038332040576438686
